author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
"Aileen K. Miller ""Elaine S. W. Leung"" ""Wayne Z. Trivelpiece""",,,"AMLR 2004/2005 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-385, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-385.PDF,2005,report,"{AMLR 2004/2005 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Elaine S. W. Leung ""Rachael A. Orben"" ""Wayne Z. Trivelpiece""",,,"AMLR 2005/2006 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-397, Chapter 9}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/FRS2005.2006p.pdf,2006,report,"{AMLR 2005/2006 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Iris M. Saxer ""Dana A. Sheffler"" ""Wayne Z. Trivelpiece""",,,"AMLR 2001/2002 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOM-TM-NMFS-SWFSC-350, Chapter 6}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-350.PDF,2003,report,"{AMLR 2001/2002 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Jefferson T. Hinke ""George M. Watters""",,,"13 January 2014 weekly field reports: Copacabana, King George Island""","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States",Volume 2,,2014,report,
"Jefferson T. Hinke ""George M. Watters""",,,"20 January 2014 weekly field reports: Copacabana, King George Island","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States",Volume 3,,2014,report,
"Kevin W. Pietrzak ""James H. Breeden"" ""Aileen K. Miller"" ""Wayne Z. Trivelpiece""",,,"AMLR 2008/2009 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-445, Chapter 6}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/TM-445%20Complete.pdf,2009,report,"{AMLR 2008/2009 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Kevin W. Pietrzak ""McKenzie L. Mudge"" ""Wayne Z. Trivelpiece""",,,"AMLR 2009/2010 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-470, Chapter 5}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/TM-470%202009-10.pdf,2011,report,"{AMLR 2009/2010 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Laina F. Shill ""Michelle Antolos"" ""Wayne Z. Trivelpiece""",,,"AMLR 2002/2003 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-355, Chapter 8}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-355.pdf,2003,report,"{AMLR 2002/2003 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"McKenzie L. Mudge ""Allyson Larned"" ""Jefferson T. Hinke"" ""Wayne Z. Trivelpiece""",,,AMLR 2010--2011 Field Season Report,"Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA -TM-NMFS-SWFSC-524, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/FSR2011_AMLR_FINAL.pdf?n=9809,2014,report,{AMLR 2010--2011 Field Season Report}
"Michael R. Taft ""Iris M. Saxer"" ""Wayne Z. Trivelpiece""",,,"AMLR 2000/2001 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOM-TM-NMFS-SWFSC-314, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-314.PDF,2001,report,"{AMLR 2000/2001 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
