author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
" ""Christophe Barbraud"" ""Karine C. Delord"" ""T. Micol"" ""P. Jouventin""","Polar Biology number [1] ""3"" pages [1] ""146--150""",10.1007/s003000050345,"First census of breeding seabirds between Cap Bienvenue (Terre Adélie) and Moyes Islands (King George V Land), Antarctica: New records for Antarctic seabird populations",,,,http://dx.doi.org/10.1007/s003000050345,1999,article,
" ""Colin Southwell"" ""Louise Emmerson""","Marine Ornithology pages [1] ""87--89""",,"First population counts at newly discovered Adélie penguin Pygoscelis adeliae breeding sites along the Wilhelm II, Queen Mary and Wilkes Land coastlines, East Antarctica",,,,http://www.marineornithology.org/PDF/41_2/41_2_87-89.pdf,2013,article,
" ""D. F. Parmalee"" ""C. C. Rimmer""","British Antarctic Survey Bulletin pages [1] ""65--73""",,"Revised penguin numbers and distributions for Anvers Island, Antarctica",,,,,1987,article,
" ""D. V. Pylypenko""","Ukrainian Antarctic Journal pages [1] ""206--216""",,Colonial bird species nesting in the UAS AREA Vernadsky (2010-2011),,,,,2013,article,
" ""D.A. Croll"" ""D.A. Demer"" ""R.P. Hewitt"" ""J.K. Jansen"" ""Michael E. Goebel"" ""B.R. Tershy""","Journal of Zoology number [1] ""4"" pages [1] ""506--513""",10.1111/j.1469-7998.2006.00090.x,Effects of variability in prey abundance on reproduction and foraging in chinstrap penguins (Pygoscelis antarctica),,,,https://doi.org/10.1111/j.1469-7998.2006.00090.x,2006,article,
" ""David G. Ainley"" ""Robert C. Wood"" ""William J. L. Sladen""","The Wilson Bulletin number [1] ""4"" pages [1] ""492--510""",,"Bird life at Cape Crozier, Ross Island",,,,https://www.jstor.org/stable/4161120,1978,article,
" ""David Wilson"" ""Rhonda Pike"" ""Darren Southwell"" ""Colin Southwell""","Antarctic Science number [1] ""06"" pages [1] ""591--592""",10.1017/S0954102009990307,"A systematic survey of breeding Adélie penguins (Pygoscelis adeliae) along the Mawson and Kemp Land coasts, East Antarctica: New colonies and population counts",,,,http://dx.doi.org/10.1017/S0954102009990307,2009,article,
" ""Diego González-Zevallos"" ""María Mercedes Santos"" ""Emilce F. Rombolá"" ""Mariana A. Juáres"" ""Néstor R. Coria""","Polar Research number [1] ""0"" pages [1] ""1--7""",10.3402/polar.v32i0.11133,"Abundance and breeding distribution of seabirds in the northern part of the Danco Coast, Antarctic Peninsula",,,,http://dx.doi.org/10.3402/polar.v32i0.11133,2013,article,
" ""Diego Montalti"" ""Guillermo E. Soave""","Ornitologia Neotropical pages [1] ""267--271""",,"The birds of Seymour Island, Antarctica",,,,http://132.248.13.1/pdf/links/neo/rev13/vol_13_3/orni_13_3_267-272.pdf,2002,article,
" ""Eric J. Woehler"" ""D. J. Slip"" ""L. M. Robertson"" ""P. J. Fullagar"" ""H. R. Burton""","Marine Ornithology number [1] ""1"" pages [1] ""1--18""",,"The distribution, abundance and status of Adélie penguins Pygoscelis adeliae at the Windmill Islands, Wilkes Land, Antarctica",,,,http://marineornithology.org/PDF/19/MO_1991_01.pdf,1991,article,
" ""Eric J. Woehler"" ""J. P. Croxall""","Marine Ornithology number [1] ""1"" pages [1] ""43--66""",,The status and trends of Antarctic and sub-Antarctic seabirds,,,,http://www.marineornithology.org/PDF/25/25_8.pdf,1997,article,
" ""G. Lesiński""","Polish Polar Research number [1] ""1"" pages [1] ""75--89""",,Monitoring of birds and pinnipedians on King George Island (South Shetland Islands) in 1989/1990,,,,,1993,article,
" ""G. M. Heimark"" ""R. J. Heimark""","Antarctic Journal of the United States number [1] ""4"" pages [1] ""14--17""",,Observations of birds and marine mammals at Palmer Station November 1985 to November 1986,,,,https://s3.amazonaws.com/Antarctica/AJUS/AJUSvXXIIIn3.pdf,1988,article,
" ""Gerald L. Kooyman"" ""P. J. Ponganis""","Antarctic Science pages [1] ""1--8""",10.1017/S0954102016000559,Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012,,,,http://dx.doi.org//10.1017/S0954102016000559,2016,article,
" ""Graham Robertson""","Polar Record number [1] ""160"" pages [1] ""61--61""",10.1017/S0032247400019938,Kidson Island: A breeding site for Antarctic fulmars,,,,http://dx.doi.org/10.1017/S0032247400019938,1991,article,
" ""Hans-Ulrich Peter"" ""Rudolf Bannasch"" ""Andreas Bick"" ""Axel Gebauer"" ""Martin Kaiser"" ""Rainer Mönke"" ""Detlev Zippel""","Wissenschaftliche Zeitschrift: Naturwissenschaftliche Reihe pages [1] ""645--657""",,"Bestand und Reproduktion ausgewählter antarktischer Vögel und Robben im Siidwestteil von King George Island, South Shetland Islands",,,,,1989,article,
" ""Heather J. Lynch"" ""Mathew R. Schwaller""","PLOS One number [1] ""11"" pages [1] ""e113301""",10.1371/journal.pone.0113301,Mapping the abundance and distribution of Adélie penguins using Landsat-7: First steps towards an integrated multi-sensor pipeline for tracking populations at the continental scale,,,,https://doi.org/10.1371/journal.pone.0113301,2014,article,
" ""Heather J. Lynch"" ""Michelle A. LaRue""","The Auk number [1] ""4"" pages [1] ""457--466""",10.1642/AUK-14-31.1,First global census of the Adélie Penguin,,,,http://dx.doi.org/10.1642/AUK-14-31.1,2014,article,
" ""Heather J. Lynch"" ""Ron Naveen"" ""Paula Casanovas""","Ecology number [1] ""11"" pages [1] ""2653--2653""",10.1890/13-1108.1,"Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243",,,,http://dx.doi.org/10.1890/13-1108.1,2013,article,
" ""Heather J. Lynch"" ""William F. Fagan"" ""Ron Naveen""","Polar Biology number [1] ""4"" pages [1] ""493--503""",10.1007/s00300-009-0726-y,Population trends and reproductive success at a frequently visited penguin colony on the western Antarctic Peninsula,,,,http://dx.doi.org/10.1007/s00300-009-0726-y,2010,article,
" ""Hong He"" ""Xiao Cheng"" ""Xianglan Li"" ""Renbin Zhu"" ""Fengming Hui"" ""Wenhui Wu"" ""Tiancheng Zhao"" ""Jing Kang"" [9] ""Jianwu Tang""","Scientific Reports number [1] ""1"" pages [1] ""1--11""",10.1038/s41598-017-13380-6,"Aerial photography based census of Adélie penguin and its application in CH4 and N2O budget estimation in Victoria Land, Antarctic",,,,https://doi.org/10.1038/s41598-017-13380-6,2017,article,
" ""J. A. Bassett"" ""Eric J. Woehler"" ""P. H. Ensor"" ""K. R. Kerry"" ""Gavin W. Johnstone""","Emu number [1] ""1"" pages [1] ""58""",10.1071/MU9900058,"Adélie penguins and Antarctic petrels at Mount Biscoe, Western Enderby Land, Antarctica",,,,http://dx.doi.org/10.1071/MU9900058,1990,article,
" ""J. Clarke"" ""Louise Emmerson"" ""A. Townsend"" ""K. R. Kerry""","CCAMLR Science pages [1] ""53--74""",,Demographic characteristics of the Adélie penguin population on Béchervaise Island after 12 years of study,,,,https://www.ccamlr.org/en/publications/science_journal/ccamlr-science-volume-10/ccamlr-science-volume-1053-74,2003,article,
" ""J. P. Croxall"" ""D. M. Rootes"" ""R. A. Price""","British Antarctic Survey Bulletin pages [1] ""47--56""",,"Increases in penguin populations at Signy Island, South Orkney Islands",,,,,1981,article,
" ""J. R. Jehl"" ""F. S. Todd""","Antarctic Journal of the United States number [1] ""5"" pages [1] ""171--172""",,"A census of the Adélie penguin colony on Paulet Island, Weddell Sea",,,,https://s3.amazonaws.com/Antarctica/AJUS/AJUSvXXn5.pdf,1985,article,
" ""Jefferson T. Hinke"" ""María Mercedes Santos"" ""Małgorzata Korczak-Abshire"" ""Gennadi P. Milinevsky"" [5] ""George M. Watters""","PLOS One number [1] ""12"" pages [1] ""e0226207""",10.1371/journal.pone.0226207,Individual variation in migratory movements of chinstrap penguins leads to widespread occupancy of ice-free winter habitats over the continental shelf and deep ocean basins of the Southern Ocean,,,,https://doi.org/10.1371/journal.pone.0226207,2019,article,
" ""John A. Macdonald"" ""Kerry J. Barton"" ""Peter Metcalf""","Polar Biology number [1] ""6"" pages [1] ""442--447""",10.1007/s00300-002-0363-1,"Chinstrap penguins (Pygoscelis antarctica) nesting on Sabrina Islet, Balleny Islands, Antarctica",,,,http://dx.doi.org/10.1007/s00300-002-0363-1,2002,article,
" ""José Antonio Gil-Delgado"" ""Jacob González-Solís"" ""Andrés Barbosa""","Antarctic Science number [1] ""2"" pages [1] ""303--306""",10.1017/S0954102012000752,"Populations of breeding birds in Byers Peninsula, Livingston Island, South Shetland Islands",,,,https://doi.org/10.1017/S0954102012000752,2013,article,
" ""Katarzyna Fudala"" ""Robert Józef Bialik""","Drones number [1] ""8"" pages [1] ""538""",https://doi.org/10.3390/drones7080538,"Identifying important bird and biodiversity areas in Antarctica using RPAS surveys—A case study of Cape Melville, King George Island, Antarctica",,,,https://doi.org/10.3390/drones7080538,2023,article,
" ""Katarzyna J. Chwedorzewska"" ""Małgorzata Korczak-Abshire""","Polish Polar Research number [1] ""1"" pages [1] ""45--60""",10.4202/ppres.2010.04,"Human impact upon the environment in the vicinity of Arctowski Station, King George Island, Antarctica",,,,https://journals.pan.pl/Content/108312/PDF/article-p45.pdf,2010,article,
" ""Kazimierz Sierakowski"" ""Małgorzata Korczak-Abshire"" ""Piotr Jadwiszczak""","Polish Polar Research number [1] ""2"" pages [1] ""231--262""",10.1515/popore-2017-0010,"Changes in bird communities of Admiralty Bay, King George Island (West Antarctic): Insights from monitoring data (1977--1996)",,,,https://doi.org/10.1515/popore-2017-0010,2017,article,
" ""M. Patricia Silva"" ""Marco Favero"" ""Ricardo J. Casaux"" ""Andrea Baroni""","Marine Ornithology number [1] ""1"" pages [1] ""75--78""",,"The status of breeding birds at Harmony Point, Nelson Island, Antarctica in summer 1995/96",,,,http://www.marineornithology.org/PDF/26/26_12.pdf,1998,article,
" ""Marco Favero"" ""Néstor R. Coria"" ""Maria Paula Beron""","Polish Polar Research number [1] ""3--4"" pages [1] ""181--187""",,"The status of breeding birds at Cierva Point and surroundings, Danco Coast, Antarctic Peninsula",,,,,2000,article,
" ""Maria Virgínia Petry"" ""Fernanda C. L. Valls"" ""Elisa S. Petersen"" ""Júlia V. G. Finger"" ""Lucas Krüger""","Antarctic Science pages [1] ""1--7""",10.1017/S0954102018000135,"Population trends of seabirds at Stinker Point, Elephant Island, Maritime Antarctica",,,,http://dx.doi.org/10.1017/S0954102018000135,2018,article,
" ""Mariana A. Juáres"" ""María Mercedes Santos"" ""Javier Negrete"" ""Jorge A. Mennucci"" ""Pablo J. Perchivale"" [6] ""Ricardo J. Casaux"" ""Néstor R. Coria""","Antarctic Science number [1] ""05"" pages [1] ""455--461""",10.1017/S0954102015000152,Adélie penguin population changes at Stranger Point: 19 years of monitoring,,,,http://dx.doi.org/10.1017/S0954102015000152,2015,article,
" ""Mariana A. Juáres"" ""Ricardo J. Casaux"" ""Javier Negrete"" ""Ayelen Rios"" ""Martín Castillo"" [6] ""Néstor R. Coria"" ""María Mercedes Santos""","Polar Biology number [1] ""2"" pages [1] ""123--129""",10.1007/s00300-019-02614-0,"Update of the population size and breeding performance of gentoo penguins (Pygoscelis papua) at Stranger Point/Cabo Funes, South Shetland Islands",,,,https://doi.org/10.1007/s00300-019-02614-0,2020,article,
" ""Martin Sander"" ""Tatiana Coelho Balbão"" ""Erli Schneider Costa"" ""Cesar Rodrigo Dos Santos"" ""Maria Virgínia Petry""","Polar Biology number [1] ""5"" pages [1] ""651--654""",10.1007/s00300-006-0218-2,"Decline of the breeding population of Pygoscelis antarctica and Pygoscelis adeliae on Penguin Island, South Shetland, Antarctica",,,,http://dx.doi.org/10.1007/s00300-006-0218-2,2007,article,
" ""María Mercedes Santos"" ""Jefferson T. Hinke"" ""Néstor R. Coria"" ""Bruno Fusaro"" ""Anahí Silvestro"" [6] ""Mariana A. Juáres""","Polar Biology number [1] ""11"" pages [1] ""2337--2342""",10.1007/s00300-018-2373-7,Abundance estimation of Adélie penguins at the Esperanza/Hope Bay mega colony,,,,https://doi.org/10.1007/s00300-018-2373-7,2018,article,
" ""María Susana Bó"" ""Sófia Copello""","Marine Ornithology number [1] ""1"" pages [1] ""39--42""",,"Distribution and abundance of breeding birds at Deception Island, South Shetland Islands, Antarctica, February to April 2000",,,,http://marineornithology.org/PDF/29_1/29_1_7.pdf,2001,article,
" ""Matthew Low"" ""Lisa Meyer"" ""Colin Southwell""","Polar Record number [1] ""03"" pages [1] ""225--229""",10.1017/S0032247407006365,"Number and distribution of Adélie penguin (Pygoscelis adeliae) breeding sites in the Robinson Group of islands, Mac.Robertson Land coast, east Antarctica",,,,http://dx.doi.org/10.1017/S0032247407006365,2007,article,
" ""Małgorzata Korczak-Abshire"" ""Anna Zmarz"" ""Mirosław Rodzewicz"" ""Marlena Kycko"" [5] ""Izabela Karsznia"" ""Katarzyna J. Chwedorzewska""","Polar Biology month [1] ""Jul"" pages [1] ""217--224""",10.1007/s00300-018-2379-1,"Study of fauna population changes on Penguin Island and Turret Point Oasis (King George Island, Antarctica) using an unmanned aerial vehicle",,,,https://doi.org/10.1007/s00300-018-2379-1,2018,article,
" ""Małgorzata Korczak-Abshire"" ""Michał Węgrzyn"" ""Piotr J. Angiel"" ""Maja Lisowska""","Polish Polar Research number [1] ""1"" pages [1] ""87--99""",10.2478/popore-2013-0002,"Pygoscelid penguins breeding distribution and population trends at Lions Rump rookery, King George Island",,,,http://journals.pan.pl/Content/99543/PDF/10183_Volume34_Issue1_06_paper.pdf,2013,article,
" ""Michael J. Dunn"" ""Jaume Forcada"" ""Jennifer A. Jackson"" ""Claire M. Waluda"" ""Camilla Nichol"" ""Philip N. Trathan""","Biodiversity and Conservation pages [1] ""37--53""",10.1007/s10531-018-1635-6,"A long-term study of gentoo penguin (Pygoscelis papua) population trends at a major Antarctic tourist site, Goudier Island, Port Lockroy",,,,https://doi.org/10.1007/s10531-018-1635-6,2019,article,
" ""Michael J. Dunn"" ""Jennifer A. Jackson"" ""Stacey Adlard"" ""Amanda S. Lynnes"" ""Dirk R. Briggs"" ""Derren Fox"" [7] ""Claire M. Waluda""","PLOS One number [1] ""10"" pages [1] ""e0164025""",10.1371/journal.pone.0164025,"Population size and decadal trends of three penguin species nesting at Signy Island, South Orkney Islands",,,,https://doi.org/10.1371/journal.pone.0164025,2016,article,
" ""Michelle A. LaRue"" ""Gerald L. Kooyman"" ""Heather J. Lynch"" ""Peter T. Fretwell""","Ecography number [1] ""2"" pages [1] ""114--120""",10.1111/ecog.00990,Emigration in emperor penguins: Implications for interpretation of long-term studies,,,,https://doi.org/10.1111/ecog.00990,2015,article,
" ""Noah Strycker"" ""Alex Borowicz"" ""Michael Wethington"" ""Steve Forrest"" ""Vikrant Shah"" ""Yang Liu"" [7] ""Hanumant Singh"" ""Heather J. Lynch""","Polar Biology pages [1] ""45--56""",10.1007/s00300-020-02774-4,"Fifty-year change in penguin abundance on Elephant Island, South Shetland Islands, Antarctica: Results of the 2019--20 census",,,,http://dx.doi.org/10.1007/s00300-020-02774-4,2020,article,
" ""Noah Strycker"" ""Michael Wethington"" ""Alex Borowicz"" ""Steve Forrest"" ""Chandi Witharana"" ""Tom Hart"" [7] ""Heather J. Lynch""","Scientific Reports number [1] ""1"" pages [1] ""1--11""",10.1038/s41598-020-76479-3,A global population assessment of the chinstrap penguin (Pygoscelis antarctica),,,,https://doi.org/10.1038/s41598-020-76479-3,2020,article,
" ""Néstor R. Coria"" ""Diego Montalti"" ""Emilce F. Rombolá"" ""María Mercedes Santos"" ""M. I. Garcia Betoño"" [6] ""Mariana A. Juáres""","Marine Ornithology number [1] ""2"" pages [1] ""207--213""",,"Birds at Laurie Island, South Orkney Islands, Antarctica: Breeding species and their distribution",,,,http://marineornithology.org/PDF/39_2/39_2_207-213.pdf,2011,article,
" ""Néstor R. Coria"" ""Marco Favero"" ""M. Patricia Silva"" ""Ricardo J. Casaux""","Marine Ornithology number [1] ""1"" pages [1] ""61--64""",,"Breeding birds at Duthoit Point, Nelson Island, South Shetland Islands, Antarctica",,,,http://marineornithology.org/PDF/23_1/MO_1995_10.pdf,1995,article,
" ""Paula Casanovas"" ""Ron Naveen"" ""Steve Forrest"" ""Jérôme Poncet"" ""Heather J. Lynch""","Polar Biology number [1] ""7"" pages [1] ""927--940""",10.1007/s00300-015-1651-x,A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula,,,,http://dx.doi.org/10.1007/s00300-015-1651-x,2015,article,
" ""Peter T. Fretwell"" ""Philip N. Trathan""","Remote Sensing in Ecology and Conservation number [1] ""2"" pages [1] ""139--153""",10.1002/rse2.176,Discovery of new colonies by Sentinel2 reveals good and bad news for emperor penguins,,,,https://doi.org/10.1002/rse2.176,2020,article,
" ""Peter T. Fretwell"" ""Philip N. Trathan"" ""Barbara Wienecke"" ""Gerald L. Kooyman""","PLOS One number [1] ""1"" pages [1] ""e85285""",10.1371/journal.pone.0085285,Emperor penguins breeding on iceshelves,,,,https://doi.org/10.1371/journal.pone.0085285,2014,article,
" ""Petr Lumpe"" ""Karel Weidinger""","Marine Ornithology pages [1] ""41--46""",,"Distribution, numbers and breeding of birds at the northern ice-free areas of nelson island, South Shetland Islands, Antarctica, 1990–1992",,,,http://www.marineornithology.org/content/get.cgi?rn=455,2000,article,
" ""Philip N. Trathan"" ""Peter T. Fretwell"" ""Bernard Stonehouse""","PLOS One number [1] ""2"" pages [1] ""e14738""",10.1371/journal.pone.0014738,First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies,,,,http://dx.doi.org/10.1371/journal.pone.0014738,2011,article,
" ""Phillip Law""","Geographical Journal number [1] ""2"" pages [1] ""174--183""",10.2307/1793468,New ANARE landings in Australian Antarctic Territory 1960,,,,https://doi.org/10.2307/1793468,1962,article,
" ""Piotr Ciaputa"" ""Kazimierz Sierakowski""","Polish Polar Research number [1] ""4"" pages [1] ""355--365""",,"Long-term population changes of Adélie, chinstrap, and gentoo penguins in the regions of SSSI No.\ 8 and SSSI No.\ 34, King George Island, Antarctica",,,,,1999,article,
" ""R. D. Quintana"" ""V. Cirelli"" ""J. L. Orgeira""","Marine Ornithology number [1] ""1"" pages [1] ""21--27""",,"Abundance and spatial distribution of bird populations at Cierva Point, Antarctic Peninsula",,,,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,article,
" ""R. H. Taylor"" ""Peter R. Wilson"" ""B. W. Thomas""","Polar Record number [1] ""159"" pages [1] ""293--304""",10.1017/S0032247400011803,Status and trends of Adélie penguin populations in the Ross Sea region,,,,http://dx.doi.org/10.1017/S0032247400011803,1990,article,
" ""Ron Naveen"" ""Heather J. Lynch"" ""Steve Forrest"" ""Thomas Mueller"" ""Michael J. Polito""","Polar Biology number [1] ""12"" pages [1] ""1879--1888""",10.1007/s00300-012-1230-3,"First direct, site-wide penguin survey at Deception Island, Antarctica, suggests significant declines in breeding chinstrap penguins",,,,http://dx.doi.org/10.1007/s00300-012-1230-3,2012,article,
" ""Rudolf Bannasch"" ""R. Odening""","Geodätische und Geophysikalische Veröffentlichungen number [1] ""1"" pages [1] ""3--20""",,"Zoologische untersuchungen im gebiet der sowjetischen Antarktisstation.Bellingshause.""""",,,,,1981,article,
" ""S. Hahn"" ""Hans-Ulrich Peter"" ""P. Quillfeldt"" ""K. Reinhardt""","Marine Ornithology number [1] ""1--2"" pages [1] ""1--6""",,"The birds of the Potter Peninsula, King George Island, South Shetland Islands, Antarctica, 1965--1998",,,,http://marineornithology.org/PDF/26/26_1.pdf,1998,article,
" ""Sally Poncet"" ""Jérôme Poncet""","British Antarctic Survey Bulletin pages [1] ""109--129""",,Censuses of penguin populations of the Antarctic Peninsula 1983-1987,,,,,1987,article,
" ""Sally Poncet"" ""Jérôme Poncet""","British Antarctic Survey Bulletin pages [1] ""71--81""",,A survey of penguin breeding populations at the South Orkey Islands,,,,,1985,article,
" ""Shingo Ishikawa"" ""Osamu Matsuda"" ""Kouichi Kawagushi""","Antarctic Record number [1] ""3"" pages [1] ""302--307""",,"Adélie penguin census in the 1984-85 breeding season near Syowa Station, Antarctica with reference to the banding effect on the population",,,,http://id.nii.ac.jp/1291/00008600/,1988,article,
" ""Silvia Olmastroni"" ""Francesco Ferretti"" ""Lucia Burrini"" ""Nicoletta Ademollo"" ""Niccolò Fattorini""","Diversity number [1] ""6"" pages [1] ""429""",10.3390/d14060429,"Breeding Ecology of Adélie Penguins in Mid Victoria Land, Ross Sea Antarctica",,,,https://doi.org/10.3390/d14060429,2022,article,
" ""Silvia Olmastroni"" ""Niccolò Fattorini"" ""Francesco Pezzo"" ""Silvano Focardi""","Antarctic Science number [1] ""3"" pages [1] ""199--209""",10.1017/S0954102020000085,Gone fishing: Adélie penguin site-specific foraging tactics and breeding performance,,,,https://doi.org/10.1017/S0954102020000085,2020,article,
" ""Simone Pfeiffer"" ""Hans-Ulrich Peter""","Polar Record number [1] ""04"" pages [1] ""345--353""",10.1017/S0032247404003845,"Ecological studies toward the management of an Antarctic tourist landing site (Penguin Island, South Shetland Islands)",,,,http://dx.doi.org/10.1017/S0032247404003845,2004,article,
" ""Sonia C. Tidemann"" ""Adam Walleyn"" ""John F. Ryan""","Australian Field Ornithology number [1] ""4"" pages [1] ""169""",,"Observations of penguins and other pelagic bird species in the Balleny Islands, Antarctica",,,,https://search.informit.org/doi/abs/10.3316/INFORMIT.716199646201503,2015,article,
" ""Steven D. Emslie"" ""William R. Fraser"" ""Raymond C. Smith"" ""William Walker""","Antarctic Science number [1] ""3"" pages [1] ""257--268""",10.1017/S0954102098000352,"Abandoned penguin colonies and environmental change in the Palmer Station area, Anvers Island, Antarctic Peninsula",,,,http://dx.doi.org/10.1017/S0954102098000352,1998,article,
" ""T. Micol"" ""P. Jouventin""","Polar Biology number [1] ""3"" pages [1] ""175--185""",10.1007/s003000000193,Long-term population trends in seven Antarctic seabirds at Pointe Géologie (Terre Adélie) Human impact compared with environmental change,,,,http://dx.doi.org/10.1007/s003000000193,2001,article,
" ""Takao Hoshiai"" ""Tatsuo Sweda"" ""Atsushi Tanimura"" ""Christophe Barbraud""","Memoirs of National Institute of Polar Research pages [1] ""117--121""",,"Adélie penguin census in the 1981-82 and 1982-1983 breeding seasons near Syowa Station, Antarctica [Special issue]",,,,http://id.nii.ac.jp/1291/00001621/,1984,article,
" ""Takao Hoshiai"" ""Tatsuro Matsuda""","Memoirs of National Institute of Polar Research pages [1] ""140--152""",,Adélie penguin rookeries in the Lutzow-Holm Bay area and relation of rookery to algal biomass in soil,,,,,1979,article,
" ""W. D. Shuford"" ""Larry B. Spear""","British Antarctic Survey Bulletin pages [1] ""19--30""",,"Surveys of breeding Chinstrap penguins in the South Shetland Island, Antarctica",,,,,1988,article,
" ""Wojciech Starck""","Polish Polar Research number [1] ""2--3"" pages [1] ""183--196""",,The avifauna of Haswell Island (East Antarctica) in the summer of 1978/1979,,,,,1980,article,
" ""Yuuki Y. Watanabe"" ""Kentaro Ito"" ""Nobuo Kokubun"" ""Akinori Takahashi""","Science Advances number [1] ""26"" pages [1] ""eaba4828""",10.1126/sciadv.aba4828,Foraging behavior links sea ice to breeding success in Antarctic penguins,,,,https://doi.org/10.1126/sciadv.aba4828,2020,article,
" ""Zhang Zhengwang"" ""Zheng Guangmei""","Journal of Beijing Normal University number [1] ""1"" pages [1] ""1--4""",,Population size and distribution of penguins at Chinese Great Wall Station in Antarctica,,,,,1997,article,
