id,site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,ref_type,ref_type2,ref_title,ref_address,ref_author,ref_journal,doi,ref_institution,ref_institution2,ref_web,ref_year,ref_original
668,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,5,2,1993,1992,1476,1,chicks,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
669,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,3,12,1992,1992,1044,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
670,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,NA,NA,1992,1992,890,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
671,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,NA,NA,1993,1993,1009,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
672,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,NA,NA,1994,1994,1025,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
673,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,NA,NA,1995,1995,1014,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
674,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,NA,NA,1996,1996,1041,1,nests,ground,article,NA,Abundance and spatial distribution of bird populations at Cierva Point Antarctic Peninsula,NA,"R. D. Quintana ""V. Cirelli"" ""J. L. Orgeira""",Marine Ornithology,NA,NA,NA,http://www.marineornithology.org/PDF/28_1/28_1_3.pdf,2000,"</sub>author [1] ""R. D. Quintana"" ""V. Cirelli""     ""J. L. Orgeira""   </sub>journal [1] ""Marine Ornithology""  </sub>number [1] ""1""  </sub>pages [1] ""21--27""  </sub>title [1] ""{Abundance and spatial distribution of bird populations at Cierva Point  Antarctic Peninsula}""  </sub>volume [1] ""28""  </sub>year [1] ""2000""  </sub>`bdsk-url-1` [1] ""http://www.marineornithology.org/PDF/28_1/28_1_3.pdf""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""quintana2000abundance"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
675,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,5,1,1998,1997,593,2,nests,ground,article,NA,The status of breeding birds at Cierva Point and surroundings Danco Coast Antarctic Peninsula,NA,"Marco Favero ""Nestor R. Coria"" ""Maria Paula Beron""",Polish Polar Research,NA,NA,NA,NA,2000,"</sub>author [1] ""Marco Favero""      ""N&eacute;stor R. Coria""   ""Maria Paula Beron""  </sub>journal [1] ""Polish Polar Research""  </sub>number [1] ""3--4""  </sub>pages [1] ""181--187""  </sub>title [1] ""{The status of breeding birds at Cierva Point and surroundings  Danco Coast  Antarctic Peninsula}""  </sub>volume [1] ""21""  </sub>year [1] ""2000""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""favero2000status"" attr( ""dateobj"") [1] ""2000-01-01 CST"""
676,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,30,12,2010,2010,2680,1,nests,ground,article,NA,Abundance and breeding distribution of seabirds in the northern part of the Danco Coast Antarctic Peninsula,NA,"Diego Gonzalez-Zevallos ""Maria Mercedes Santos"" ""Emilce F. Rombol&aacute;"" ""Mariana A. Ju&aacute;res"" ""Nestor R. Coria""",Polar Research,10.3402/polar.v32i0.11133,NA,NA,http://dx.doi.org/10.3402/polar.v32i0.11133,2013,"</sub>author [1] ""Diego Gonz&aacute;lez-Zevallos"" ""Mar&iacute;a Mercedes Santos""   ""Emilce F. Rombol&aacute;""       ""Mariana A. Ju&aacute;res""       ""N&eacute;stor R. Coria""          </sub>doi [1] ""10.3402/polar.v32i0.11133""  </sub>journal [1] ""Polar Research""  </sub>number [1] ""0""  </sub>pages [1] ""1--7""  </sub>title [1] ""{Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula}""  </sub>volume [1] ""32""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.3402/polar.v32i0.11133""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""gonzalez-zevallos2013abundance"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
677,Cierva Point,CIER,48.1,-60.96,-64.157,gentoo penguin,2,1,2015,2014,3303,1,nests,ground,Dataset - Unpublished,NA,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,NA,Heather J. Lynch,NA,NA,NA,NA,NA,2022,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchantarctic"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
678,Cieslak Point,CIPT,48.1,-58.655,-62.009,chinstrap penguin,NA,NA,1980,1980,955,2,nests,ground,article,NA,Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981),NA,Bolesław JABŁOŃSKI,Polish Polar Research,NA,NA,NA,NA,1984,"</sub>author [1] ""Boles&lstrok;aw Jab&lstrok;oński""  </sub>journal [1] ""Polish Polar Research""  </sub>number [1] ""1--2""  </sub>pages [1] ""17--30""  </sub>title [1] ""{Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*)}""  </sub>volume [1] ""5""  </sub>year [1] ""1984""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""jablonski1984distributionking"" attr( ""dateobj"") [1] ""1984-01-01 CST"""
679,Cape Lindsey,CLIN,48.1,-55.48,-61.107,chinstrap penguin,18,1,1971,1970,710,4,nests,ground,Book,NA,The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea,Cambridge United Kingdom,"J. P. Croxall ""E. D. Kirkwood"" </sub>isbn",British Antarctic Survey,NA,NA,NA,NA,1979,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""J. P. Croxall""  ""E. D. Kirkwood""  </sub>isbn [1] ""0856650714""  </sub>publisher [1] ""British Antarctic Survey""  </sub>title [1] ""{The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea}""  </sub>year [1] ""1979""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""croxall1979distribution"" attr( ""dateobj"") [1] ""1979-01-01 CST"""
680,Cape Lindsey,CLIN,48.1,-55.48,-61.107,chinstrap penguin,30,1,1987,1986,120,2,adults,ground,article,NA,Surveys of breeding Chinstrap penguins in the South Shetland Island Antarctica,NA,"W. D. Shuford ""Larry B. Spear""",British Antarctic Survey Bulletin,NA,NA,NA,NA,1988,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
681,Cape Lindsey,CLIN,48.1,-55.48,-61.107,chinstrap penguin,13,1,2020,2019,163,1,nests,ground,article,NA,Fifty-year change in penguin abundance on Elephant Island South Shetland Islands Antarctica: Results of the 2019--20 census,NA,"Noah Strycker ""Alex Borowicz"" ""Michael Wethington"" ""Steve Forrest"" ""Vikrant Shah"" ""Yang Liu"" [7] ""Hanumant Singh"" ""Heather J. Lynch""",Polar Biology,10.1007/s00300-020-02774-4,NA,NA,http://dx.doi.org/10.1007/s00300-020-02774-4,2020,"</sub>author [1] ""Noah Strycker""      ""Alex Borowicz""      ""Michael Wethington"" ""Steve Forrest""      ""Vikrant Shah""       ""Yang Liu""           [7] ""Hanumant Singh""     ""Heather J. Lynch""    </sub>doi [1] ""10.1007/s00300-020-02774-4""  </sub>journal [1] ""Polar Biology""  </sub>pages [1] ""45--56""  </sub>title [1] ""{Fifty-year change in penguin abundance on Elephant Island  South Shetland Islands  Antarctica: Results of the 2019--20 census}""  </sub>volume [1] ""44""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-020-02774-4""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020fifty-year"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
682,Cape Lindsey,CLIN,48.1,-55.48,-61.107,macaroni penguin,12,1,2020,2019,207,1,nests,ground,article,NA,Fifty-year change in penguin abundance on Elephant Island South Shetland Islands Antarctica: Results of the 2019--20 census,NA,"Noah Strycker ""Alex Borowicz"" ""Michael Wethington"" ""Steve Forrest"" ""Vikrant Shah"" ""Yang Liu"" [7] ""Hanumant Singh"" ""Heather J. Lynch""",Polar Biology,10.1007/s00300-020-02774-4,NA,NA,http://dx.doi.org/10.1007/s00300-020-02774-4,2020,"</sub>author [1] ""Noah Strycker""      ""Alex Borowicz""      ""Michael Wethington"" ""Steve Forrest""      ""Vikrant Shah""       ""Yang Liu""           [7] ""Hanumant Singh""     ""Heather J. Lynch""    </sub>doi [1] ""10.1007/s00300-020-02774-4""  </sub>journal [1] ""Polar Biology""  </sub>pages [1] ""45--56""  </sub>title [1] ""{Fifty-year change in penguin abundance on Elephant Island  South Shetland Islands  Antarctica: Results of the 2019--20 census}""  </sub>volume [1] ""44""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1007/s00300-020-02774-4""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020fifty-year"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
683,Claude Point,CLPT,48.1,-62.618,-64.116,chinstrap penguin,7,1,1985,1984,190,1,nests,ground,article,NA,Censuses of penguin populations of the Antarctic Peninsula 1983-1987,NA,"Sally Poncet ""J&eacute;r&ocirc;me Poncet""",British Antarctic Survey Bulletin,NA,NA,NA,NA,1987,"</sub>author [1] ""Sally Poncet""  ""J&eacute;r&ocirc;me Poncet""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""109--129""  </sub>title [1] ""{Censuses of penguin populations of the Antarctic Peninsula 1983-1987}""  </sub>volume [1] ""77""  </sub>year [1] ""1987""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""poncet1987censuses"" attr( ""dateobj"") [1] ""1987-01-01 CST"""
684,Claude Point,CLPT,48.1,-62.618,-64.116,chinstrap penguin,6,12,2013,2013,200,5,nests,vhr,article,NA,A global population assessment of the chinstrap penguin (Pygoscelis antarctica),NA,"Noah Strycker ""Michael Wethington"" ""Alex Borowicz"" ""Steve Forrest"" ""Chandi Witharana"" ""Tom Hart"" [7] ""Heather J. Lynch""",Scientific Reports,10.1038/s41598-020-76479-3,NA,NA,https://doi.org/10.1038/s41598-020-76479-3,2020,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
685,Cape Melville,CMEL,48.1,-57.58,-62.022,chinstrap penguin,NA,NA,1980,1980,9970,2,nests,ground,article,NA,Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981),NA,Bolesław JABŁOŃSKI,Polish Polar Research,NA,NA,NA,NA,1984,"</sub>author [1] ""Boles&lstrok;aw Jab&lstrok;oński""  </sub>journal [1] ""Polish Polar Research""  </sub>number [1] ""1--2""  </sub>pages [1] ""17--30""  </sub>title [1] ""{Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*)}""  </sub>volume [1] ""5""  </sub>year [1] ""1984""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""jablonski1984distributionking"" attr( ""dateobj"") [1] ""1984-01-01 CST"""
686,Cape Melville,CMEL,48.1,-57.58,-62.022,chinstrap penguin,31,1,1987,1986,8500,4,adults,offshore vessel,article,NA,Surveys of breeding Chinstrap penguins in the South Shetland Island Antarctica,NA,"W. D. Shuford ""Larry B. Spear""",British Antarctic Survey Bulletin,NA,NA,NA,NA,1988,"</sub>author [1] ""W. D. Shuford""  ""Larry B. Spear""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""19--30""  </sub>title [1] ""{Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica}""  </sub>volume [1] ""81""  </sub>year [1] ""1988""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""shuford1988surveys"" attr( ""dateobj"") [1] ""1988-01-01 CST"""
687,Cape Melville,CMEL,48.1,-57.58,-62.022,chinstrap penguin,14,12,2019,2019,3000,5,nests,vhr,article,NA,A global population assessment of the chinstrap penguin (Pygoscelis antarctica),NA,"Noah Strycker ""Michael Wethington"" ""Alex Borowicz"" ""Steve Forrest"" ""Chandi Witharana"" ""Tom Hart"" [7] ""Heather J. Lynch""",Scientific Reports,10.1038/s41598-020-76479-3,NA,NA,https://doi.org/10.1038/s41598-020-76479-3,2020,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
688,Cape Melville,CMEL,48.1,-57.58,-62.022,chinstrap penguin,4,12,2022,2022,4824,1,nests,uav,article,NA,Identifying important bird and biodiversity areas in Antarctica using RPAS surveys—A case study of Cape Melville King George Island Antarctica,NA,"Katarzyna Fudala ""Robert J&oacute;zef Bialik""",Drones,https://doi.org/10.3390/drones7080538,NA,NA,https://doi.org/10.3390/drones7080538,2023,"</sub>author [1] ""Katarzyna Fudala""    ""Robert J&oacute;zef Bialik""  </sub>doi [1] ""https://doi.org/10.3390/drones7080538""  </sub>journal [1] ""Drones""  </sub>number [1] ""8""  </sub>pages [1] ""538""  </sub>title [1] ""{Identifying important bird and biodiversity areas in Antarctica using RPAS surveys—A case study of Cape Melville  King George Island  Antarctica}""  </sub>volume [1] ""7""  </sub>year [1] ""2023""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.3390/drones7080538""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""fudala2023identifying"" attr( ""dateobj"") [1] ""2023-01-01 CST"""
689,Cape Melville,CMEL,48.1,-57.58,-62.022,chinstrap penguin,12,12,2022,2022,4960,1,nests,uav,article,NA,Identifying important bird and biodiversity areas in Antarctica using RPAS surveys—A case study of Cape Melville King George Island Antarctica,NA,"Katarzyna Fudala ""Robert J&oacute;zef Bialik""",Drones,https://doi.org/10.3390/drones7080538,NA,NA,https://doi.org/10.3390/drones7080538,2023,"</sub>author [1] ""Katarzyna Fudala""    ""Robert J&oacute;zef Bialik""  </sub>doi [1] ""https://doi.org/10.3390/drones7080538""  </sub>journal [1] ""Drones""  </sub>number [1] ""8""  </sub>pages [1] ""538""  </sub>title [1] ""{Identifying important bird and biodiversity areas in Antarctica using RPAS surveys—A case study of Cape Melville  King George Island  Antarctica}""  </sub>volume [1] ""7""  </sub>year [1] ""2023""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.3390/drones7080538""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""fudala2023identifying"" attr( ""dateobj"") [1] ""2023-01-01 CST"""
690,Cape Murray,CMUR,48.1,-61.621,-64.366,chinstrap penguin,9,3,1922,1921,NA,NA,nests,ground,Book,NA,The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea,Cambridge United Kingdom,"J. P. Croxall ""E. D. Kirkwood"" </sub>isbn",British Antarctic Survey,NA,NA,NA,NA,1979,"</sub>address [1] ""Cambridge  United Kingdom""  </sub>author [1] ""J. P. Croxall""  ""E. D. Kirkwood""  </sub>isbn [1] ""0856650714""  </sub>publisher [1] ""British Antarctic Survey""  </sub>title [1] ""{The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea}""  </sub>year [1] ""1979""  attr( ""bibtype"") [1] ""Book"" attr( ""key"") [1] ""croxall1979distribution"" attr( ""dateobj"") [1] ""1979-01-01 CST"""
691,Cape Murray,CMUR,48.1,-61.621,-64.366,chinstrap penguin,NA,1,2016,2015,0,1,nests,ground,Dataset - Unpublished,NA,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,NA,Heather J. Lynch,NA,NA,NA,NA,NA,2022,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchantarctic"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
692,Cobalescou Island,COBA,48.1,-61.652,-64.179,chinstrap penguin,16,12,1971,1971,736,1,nests,ground,NA,NA,A survey of twenty-four rookeries of pygoscelid penguins in the Antarctic Peninsula region,Baltimore United States,"Christine M&uuml;ller-Schwarze ""Dietland M&uuml;ller-Schwarze""",NA,NA,{The biology of penguins},Bernard Stonehouse. University Park Press,NA,1975,"</sub>address [1] ""Baltimore  United States""  </sub>author [1] ""Christine M&uuml;ller-Schwarze"" ""Dietland M&uuml;ller-Schwarze""   </sub>booktitle [1] ""{The biology of penguins}""  </sub>editor [1] ""Bernard Stonehouse""  </sub>isbn [1] ""978-0333167915""  </sub>pages [1] ""309--320""  </sub>publisher [1] ""University Park Press""  </sub>title [1] ""{A survey of twenty-four rookeries of pygoscelid penguins in the Antarctic Peninsula region}""  </sub>year [1] ""1975""  attr( ""bibtype"") [1] ""InCollection"" attr( ""key"") [1] ""muller-schwarze1975survey"" attr( ""dateobj"") [1] ""1975-01-01 CST"""
693,Cobalescou Island,COBA,48.1,-61.652,-64.179,chinstrap penguin,29,1,1986,1985,500,5,nests,ground,article,NA,Censuses of penguin populations of the Antarctic Peninsula 1983-1987,NA,"Sally Poncet ""J&eacute;r&ocirc;me Poncet""",British Antarctic Survey Bulletin,NA,NA,NA,NA,1987,"</sub>author [1] ""Sally Poncet""  ""J&eacute;r&ocirc;me Poncet""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""109--129""  </sub>title [1] ""{Censuses of penguin populations of the Antarctic Peninsula 1983-1987}""  </sub>volume [1] ""77""  </sub>year [1] ""1987""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""poncet1987censuses"" attr( ""dateobj"") [1] ""1987-01-01 CST"""
694,Cobalescou Island,COBA,48.1,-61.652,-64.179,chinstrap penguin,13,12,2011,2011,457,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
695,Cobalescou Island,COBA,48.1,-61.652,-64.179,chinstrap penguin,2,2,2020,2019,376,1,nests,ground,article,NA,A global population assessment of the chinstrap penguin (Pygoscelis antarctica),NA,"Noah Strycker ""Michael Wethington"" ""Alex Borowicz"" ""Steve Forrest"" ""Chandi Witharana"" ""Tom Hart"" [7] ""Heather J. Lynch""",Scientific Reports,10.1038/s41598-020-76479-3,NA,NA,https://doi.org/10.1038/s41598-020-76479-3,2020,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
696,Cobalescou Island,COBA,48.1,-61.652,-64.179,chinstrap penguin,27,1,2024,2023,541,1,chicks,uav,Dataset - Unpublished,NA,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,NA,Ron Naveen,NA,NA,NA,NA,NA,2023,"</sub>author [1] ""Ron Naveen""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2023""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""asiunpublished"" attr( ""dateobj"") [1] ""2023-01-01 CST"""
