id,site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,ref_type,ref_type2,ref_title,ref_address,ref_author,ref_journal,doi,ref_institution,ref_institution2,ref_web,ref_year,ref_original
11,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,25,1,2009,2008,8307,1,chicks,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
12,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,26,11,2008,2008,5620,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
13,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,22,1,2010,2009,4870,1,chicks,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
14,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,17,11,2011,2011,4047,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
15,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,27,12,2018,2018,3797,1,nests,ground,Dataset - Unpublished,NA,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,NA,Heather J. Lynch,NA,NA,NA,NA,NA,2022,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchantarctic"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
16,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,13,12,1999,1999,1177,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
17,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,11,1,2002,2001,1236,1,chicks,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
18,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,20,12,2003,2003,1486,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
19,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,22,1,2006,2005,2483,1,chicks,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
20,Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,18,11,2005,2005,1998,1,nests,ground,article,NA,Antarctic Site Inventory breeding bird survey data 1994-2013: Ecological Archives E094-243,NA,"Heather J. Lynch ""Ron Naveen"" ""Paula Casanovas""",Ecology,10.1890/13-1108.1,NA,NA,http://dx.doi.org/10.1890/13-1108.1,2013,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
