"title","abstract","publication_year","doi","type","oa_url","author","keyword","concept","pdf_url","cited_by_count","id"
"Spatial patterns and behaviour of notothenioid fishes off the northern Antarctic Peninsula",NA,2022,"https://doi.org/10.1007/s00300-022-03047-y","article",NA,"Mario La Mesa; Gabriele La Mesa; Dieter Piepenburg; Julian Gutt; Joseph T. Eastman","Biology; Fauna; Species richness; Benthic zone; Abundance (ecology); Ecology; Peninsula; Foraging; Oceanography; Transect; Pelagic zone; Fishery; Predation","Biology; Fauna; Species richness; Benthic zone; Abundance (ecology); Ecology; Peninsula; Foraging; Oceanography",NA,9,166
"Fluctuations in Adélie penguin prey size in the mid to late Holocene, northern Marguerite Bay, Antarctic Peninsula",NA,2002,"https://doi.org/10.1007/s00300-002-0401-z","article",NA,"Jenny D. Mcdaniel; Steven D. Emslie","Biology; Bay; Holocene; Peninsula; Predation; Ecology; Oceanography; Paleontology; Geology","Biology; Bay; Holocene; Peninsula; Predation",NA,15,167
"Community structure and feeding ecology of mesopelagic fishes in the slope waters of King George Island (South Shetland Islands, Antarctica)",NA,2004,"https://doi.org/10.1016/s0967-0637(04)00117-7","article",NA,"Christian Pusch; P. Alexander Hulley; K.-H. Kock","Mesopelagic zone; Shetland; Trophic level; Ecology; Pelagic zone; Oceanography; Bathyal zone; Biology; Fishery; Diel vertical migration; Community structure; Geology; Benthic zone","Mesopelagic zone; Shetland; Trophic level; Ecology; Pelagic zone; Oceanography",NA,5,168
"Length frequency analysis ofPleuragramma antarcticum, Electrona antarctica, Protomyctophum bolini",NA,1995,"https://doi.org/10.1007/bf02889475","article",NA,"Qun Liu; Dagang Chen","Fish <Actinopterygii>; Peninsula; Biology; Oceanography; Ecology; Fishery; Animal science; Geology","Fish <Actinopterygii>; Peninsula",NA,6,169
"Before the freeze: otoliths from the Eocene of Seymour Island, Antarctica, reveal dominance of gadiform fishes (Teleostei)","Schwarzhans, widespread in the southern oceans during the Eocene, has been recorded from New Zealand, southern Australia, and now Antarctica. The otolith assemblage shows a typical composition of temperate fishes dominated by gadiforms, very similar at genus and family levels to associations known from middle Eocene strata of New Zealand and the late Eocene of southern Australia, but also to the temperate Northern Hemisphere associations from the Paleocene of Denmark. The Seymour Island fauna bridges a gap in the record of global temperate marine teleost faunas during the early Eocene climate maximum. The dominant gadiforms are interpreted as the main temperate faunal component, as in the Paleocene of Denmark. Here they are represented by the families Moridae, Merlucciidae (Macruroninae), Macrouridae and Gadidae. Nowadays Gadidae are a chiefly Northern Hemisphere temperate family. Moridae, Macruroninae and Macrouridae live today on the lower shelf to deep-water or mesopelagically with Macruroninae being restricted to the Southern Ocean. The extant endemic Antarctic gadiform family Muraenolepididae is missing, as are the dominant modern Antarctic fishes of the perciform suborder Notothenioidei. Recently, there has been much debate on isolated jaw bones of teleost fishes found in the La Meseta Formation and whether they would represent gadiforms (Merlucciidae in this case) or some early, primitive notothenioid. Otoliths are known to often complement rather than duplicate skeletal finds. With this in mind, we conclude that our otolith data support the presence of gadiforms in the early Eocene of Antarctica while it does not rule out the presence of notothenioids at the same time. http://zoobank.org/urn:lsid:zoobank.org:pub:A30E5364-0003-4467-B902-43A41AD456CC.",2016,"https://doi.org/10.1080/14772019.2016.1151958","article","https://www.tandfonline.com/doi/pdf/10.1080/14772019.2016.1151958?needAccess=true","Werner Schwarzhans; Thomas Mörs; Andrea Engelbrecht; Marcelo Reguero; Jürgen Kriwet","Southern Hemisphere; Temperate climate; Paleontology; Fauna; Genus; Gadidae; Teleostei; Northern Hemisphere; Oceanography; Geology; Biology; Ecology; Gadus; Fishery; Fish <Actinopterygii>","Southern Hemisphere; Temperate climate; Paleontology; Fauna; Genus","https://www.tandfonline.com/doi/pdf/10.1080/14772019.2016.1151958?needAccess=true",26,170
"Warm acclimation alters antioxidant defences but not metabolic capacities in the Antarctic fish, <i>Notothenia coriiceps</i>","Abstract The Southern Ocean surrounding the Western Antarctic Peninsula region is rapidly warming. Survival of members of the dominant suborder of Antarctic fishes, the Notothenioidei, will likely require thermal plasticity and adaptive capacity in key traits delimiting thermal tolerance. Herein, we have assessed the thermal plasticity of several cellular and biochemical pathways, many of which are known to be associated with thermal tolerance in notothenioids, including mitochondrial function, activities of aerobic and anaerobic enzymes, antioxidant defences, protein ubiquitination and degradation in cardiac, oxidative skeletal muscles and gill of Notothenia coriiceps warm acclimated to 4°C for 22 days or 5°C for 42 days. Levels of triacylglycerol (TAG) were measured in liver and oxidative and glycolytic skeletal muscles, and glycogen in liver and glycolytic muscle to assess changes in energy stores. Metabolic pathways displayed minimal thermal plasticity, yet antioxidant defences were lower in heart and oxidative skeletal muscles of warm-acclimated animals compared with animals held at ambient temperature. Despite higher metabolic rates at elevated temperature, energy storage depots of TAG and glycogen increase in liver and remain unchanged in muscle with warm acclimation. Overall, our studies reveal that N. coriiceps displays thermal plasticity in some key traits that may contribute to their survival as the Southern Ocean continues to warm.",2022,"https://doi.org/10.1093/conphys/coac054","article","https://academic.oup.com/conphys/article-pdf/10/1/coac054/45216900/coac054.pdf","Kristin M. O’Brien; Corey A. Oldham; Jon Sarrimanolis; Autumn Fish; Luke Castellini; Jenna Vance; Hayley Lekanof; Elizabeth L. Crockett","Biology; Acclimatization; Glycogen; Phenotypic plasticity; Skeletal muscle; Glycolysis; Oxidative phosphorylation; Ecology; Zoology; Anatomy; Biochemistry; Metabolism","Biology; Acclimatization; Glycogen; Phenotypic plasticity; Skeletal muscle; Glycolysis","https://academic.oup.com/conphys/article-pdf/10/1/coac054/45216900/coac054.pdf",11,171
"Persistent organic pollutants in tissues of the white-blooded Antarctic fish Champsocephalus gunnari and Chaenocephalus aceratus",NA,2016,"https://doi.org/10.1016/j.chemosphere.2016.01.089","article",NA,"Anneli Strobel; Peter Schmid; Helmut Segner; Patricia Burkhardt‐Holm; Markus Zennegg","Bioaccumulation; Trophic level; Pollutant; Environmental chemistry; Biology; Food web; Ecotoxicology; Toxicant; Biomagnification; Persistent organic pollutant; Ecology; Chemistry; Toxicity","Bioaccumulation; Trophic level; Pollutant; Environmental chemistry",NA,13,172
"Digenean Trematoda infection of inshore fish at South Georgia","A sample of 111 fish of eight species caught in two fjords at South Georgia were examined for digenean trematode parasites. The alimentary tracts of all specimens were infected with digeneans. The dominant species was Elytrophalloides oatesi (Leiper &amp; Atkinson) which was found in all fish, with a maximum number of 1961 specimens per fish. Other common species were; Macvicaria pennelli (Leiper &amp; Atkinson), Lepidapedon garrardi (Leiper &amp; Atkinson), Lecithaster macrocotyle Szidat &amp; Graefe, Genolinea bowersi (Leiper &amp; Atkinson) and Postmonorchis variabilis Prudhoe &amp; Bray. Three further species, Neolebouria antarctica (Szidat &amp; Graefe), Discoverytrema markowskii Gibson and Gonocerca phycidis Manter, were rare. Infection of the most commonly caught fish at South Georgia, Notothenia rossii Richardson, is compared with that of N. rossii at Admiralty Bay, South Shetland Islands. The species composition of common parasites was similar in both areas but conspicuous differences in the frequency of individual digenean species were found.",1992,"https://doi.org/10.1017/s0954102092000105","article",NA,"K. Zdzitowiecki; Martin White","Trematoda; Shetland; Biology; Bay; Digenea; Zoology; Fish <Actinopterygii>; Ecology; Fjord; Fishery; Helminths; Oceanography","Trematoda; Shetland; Biology; Bay; Digenea",NA,10,173
"A first attempt at determining larval growth in three Antarctic fish from otoliths and RNA/DNA ratios",NA,2002,"https://doi.org/10.1007/s00300-001-0351-x","article",NA,"Beatriz Morales-Nín; Isabel Palomera; Xavier Busquets","Biology; Otolith; Larva; Ontogeny; RNA; Zoology; Fish <Actinopterygii>; Ecology; Fishery; Genetics; Gene","Biology; Otolith; Larva; Ontogeny; RNA; Zoology",NA,10,174
"Diet of Cape petrel Daption capense during the post-hatching period at Laurie Island, South Orkney Islands, Antarctica",NA,1997,"https://doi.org/10.1007/s003000050183","article",NA,"Néstor Coria; Guillermo E. Soave; Diego Montalti","Biology; Cape; Hatching; Period (music); Petrel; Seabird; Predation; Fishery; Zoology; Ecology; Archaeology","Biology; Cape; Hatching; Period (music); Petrel; Seabird",NA,21,175
"Concentrations of Thirteen Trace Metals in Scales of Three Nototheniid Fishes from Antarctica (James Ross Island, Antarctic Peninsula)",NA,2019,"https://doi.org/10.1007/s12011-018-1598-1","article",NA,"Kevin Roche; Jan Kuta; Ivo Sedláček; Rostislav Červenka; Kateřina Tomanová; Pavel Jurajda","Peninsula; Oceanography; TRACE (psycholinguistics); Geology; Geography; Biology; Ecology; Philosophy","Peninsula; Oceanography; TRACE (psycholinguistics)",NA,6,176
"Reproductive aspects of Notothenia rossii and N. coriiceps (Perciformes, Nototheniidae) at Potter Cove, 25 de Mayo (King George) Island during austral summer",NA,2016,"https://doi.org/10.1007/s00300-016-1918-x","article","http://hdl.handle.net/11336/60745","María Florencia Ferreira; María L. Varela; Fabiana L. Lo Nostro; Martı́n Ansaldo; Griselda Genovese","Biology; Vitellogenin; Vitellogenesis; Gonadosomatic Index; Spawn (biology); Sexual maturity; Cove; Perciformes; Zoology; Reproductive biology; Development of the gonads; Ovary; Gonad; Ecology; Fecundity; Fishery; Oocyte; Endocrinology; Fish <Actinopterygii>; Population; Embryogenesis; Embryo; Demography","Biology; Vitellogenin; Vitellogenesis; Gonadosomatic Index; Spawn (biology); Sexual maturity; Cove; Perciformes; Zoology; Reproductive biology",NA,12,177
"The specialized diet of Harpagifer bispinis:",NA,1981,"https://doi.org/10.1007/bf00018363","article",NA,"William E. Duarte; Carlos A. Moreno","Predation; Shetland; Archipelago; Amphipoda; Ecology; Species evenness; Biology; Predator; Community structure; Species richness; Crustacean; Geography","Predation; Shetland; Archipelago; Amphipoda; Ecology; Species evenness; Biology; Predator",NA,28,178
"Species distribution, hybridization and connectivity in the genus<i>Chionodraco</i>: Unveiling unknown icefish diversity in antarctica","Abstract Aim The species of the genus Chionodraco (Notothenioidei) are the most abundant icefish on the continental shelf of the Weddell Sea. While previous studies indicated that only Chionodraco hamatus and Chionodraco myersi inhabit the Weddell Sea, the third Chionodraco species, Chionodraco rastrospinosus , was recently sampled in the area. As C. rastrospinosus is supposed to be found only at the Antarctic Peninsula and Scotia Arc, this study aimed at confirming the species classification of C. rastrospinosus by molecular methods and identifying its putative source population. Given the documented evidence of introgression among the three species, we tested whether the newly found C. rastrospinosus shared any genetic variability with the other Chionodraco species. To explain the pattern of distribution of the Chionodraco species, we aimed at estimating the hydrodynamic connectivity between the Antarctic Peninsula and the Weddell Sea. Location Antarctic Peninsula, southern Scotia Arc and the south‐eastern Weddell Sea. Methods We genotyped 19 microsatellites and sequenced the mitochondrial D‐loop for 560 Chionodraco individuals. We simulated the dispersal of more than 3 million drifters (Lagrangian model). Results The molecular analyses support the presence of C. rastrospinosus in the Weddell Sea and its homogeneity with C. rastrospinosus from the Antarctic Peninsula. Bayesian clustering identifies three putative hybrids among C. rastrospinosus and the other congenerics. Lagrangian simulations do not support connectivity driven by the oceanographic features of the Antarctic Peninsula and Weddell Sea via passive larval dispersal only. Main conclusions This study documents, for the first time, the presence of C. rastrospinosus in the Weddell Sea unveiling more biodiversity than previously known in this region. The sympatry of the three Chionodraco species explains the occurrence of occasional, ongoing events of hybridization in the genus. Alternative possible hypotheses need to be tested in future studies about the mechanisms maintaining the interspecific connectivity in Chionodraco spp.",2021,"https://doi.org/10.1111/ddi.13249","article","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13249","Luca Schiavon; Valérie Dulière; Mario La Mesa; Ilaria A. M. Marino; Giuditta Codogno; Elisa Boscari; Emilio Riginella; Alessandra Battistotti; Magnus Lucassen; Lorenzo Zane; Chiara Papetti","Biological dispersal; Peninsula; Ecology; Biology; Population; Genus; Continental shelf; Oceanography; Geography; Geology","Biological dispersal; Peninsula; Ecology; Biology","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13249",16,179
"Freezing avoidance of the Antarctic icefishes (Channichthyidae) across thermal gradients in the Southern Ocean",NA,2009,"https://doi.org/10.1007/s00300-009-0697-z","article",NA,"Kevin T. Bilyk; Arthur L. DeVries","Freezing point; Biology; Latitude; Antifreeze; Freezing-point depression; Antifreeze protein; Osmolyte; Ecology; Geology; Chemistry; Biochemistry; Physics","Freezing point; Biology; Latitude; Antifreeze; Freezing-point depression",NA,23,180
"Fish diet of the Antarctic fur seal, Arctocephalus gazella , in summer, at Stranger Point, King George Island, South Shetland Islands",NA,1996,"https://doi.org/10.1007/s003000050064","article",NA,"G. A. Daneri","Fur seal; Shetland; Biology; Pelagic zone; Predation; Fishery; Fish <Actinopterygii>; Zoology; Ecology; Oceanography","Fur seal; Shetland; Biology; Pelagic zone; Predation",NA,6,181
"Genetic differentiation in the ice‐dependent fish <i>Pleuragramma antarctica</i> along the Antarctic Peninsula","Abstract Aim Pleuragramma antarctica is an Antarctic notothenioid fish with a pelagic life‐cycle. It plays a major trophic role in coastal Antarctic waters as a predator of krill and as prey for penguins and seals. A previous study, using mt DNA to investigate Pleuragramma population structure at multiple Antarctic sites was unable to discriminate between hypotheses of panmixia, with occasional fluctuations of allelic frequencies, and population structure. The aim of the present study was to investigate the population structure of P. antarctica along the Antarctic Peninsula ( AP ) shelf by microsatellite genotyping. Location Four areas along the AP shelf: Charcot Island, Marguerite Bay, Joinville Island and the Larsen Ice Shelf. Methods A total of 562 individuals from nine population samples were genotyped at 16 expressed sequence tag (EST)‐linked microsatellites. Genetic variability, Hardy–Weinberg probabilities and F ‐statistics were calculated, and a hierarchical analysis of molecular variance was carried out. A Bayesian method was applied to estimate the migration rates between geographical localities. Results We found one genetically homogeneous population with no interannual variability in the south‐western AP and one off the northern tip of the AP . Significant differences were recorded between the two geographical regions, which also differed from the eastern AP . The extent of differentiation changed between years and significant genetic differentiation was found between clusters of individuals of different length modes collected at Joinville Island in 2010. Bayesian analysis suggested weak gene flow along the western AP , with a prevailing direction from north to south, following the anticlockwise‐flowing Coastal Current. Main conclusions Population genetic structure can be detected in AP shelf samples of P. antarctica . Thus, even in this area characterized by strong oceanographic currents, genetic mixing is not complete. Temporal fluctuations of allelic frequencies and genetic differentiation between individuals of different length collected at the same location suggest the importance of genetic drift in this highly abundant species.",2015,"https://doi.org/10.1111/jbi.12497","article",NA,"Cecilia Agostini; Tomaso Patarnello; Julian Ashford; Joseph J. Torres; Lorenzo Zane; Chiara Papetti","Population; Krill; Panmixia; Bay; Pelagic zone; Euphausia; Genetic structure; Biology; Ecology; Oceanography; Geography; Genetic variation; Geology; Demography","Population; Krill; Panmixia; Bay; Pelagic zone",NA,19,182
"Gut contents and stable isotope analyses of the Antarctic fish, <i>Notothenia coriiceps</i> (Richardson), from two macroalgal communities","Abstract Gut contents studies have shown that Notothenia coriiceps , a prevalent shallow water fish species along the western Antarctic Peninsula, has a highly variable diet. This variability, coupled with small home ranges, suggest that microhabitat may play a role in determining the chief prey items of N. coriiceps . We trapped fish from three sites comprised of two different algal microhabitats around Palmer Station, Antarctica and investigated their diets via gut contents and stable isotope analyses. Gut contents analysis revealed that amphipods were the primary prey item at all three sites, but the distribution of amphipod species eaten varied between sites. Other important prey classes were snails, limpets, algae and fish. Overall, the gut content data suggested that algal microhabitat was less important than geographic location in determining diet. On the other hand, stable isotope analysis indicated that fish from the Palmaria decipiens site were more enriched in both carbon and nitrogen than fish from Desmarestia menziesii sites. Hence, it would appear that in the longer term, algal microhabitat may influence fish diets and trophic relationships.",2010,"https://doi.org/10.1017/s095410201000091x","article",NA,"Jill P. Zamzow; Craig F. Aumack; Charles D. Amsler; James B. McClintock; Margaret O. Amsler; Bill J. Baker","Biology; Predation; Trophic level; Ecology; Fish <Actinopterygii>; Algae; Isotope analysis; Stable isotope ratio; Fishery","Biology; Predation; Trophic level; Ecology; Fish <Actinopterygii>; Algae; Isotope analysis; Stable isotope ratio",NA,18,183
